CEDEAR,Ratio,Subyacentes
HUT,0.2,HUT
HWM,1,HWM
MSFT,30,MSFT
MRVL,14,MRVL
META,24,META
SNOW,30,SNOW
JMIA,1,JMIA
TSM,9,TSM
NXE,1,NXE
DE,40,DE
BIOX,1,BIOX
BITF,0.2,BITF
RBLX,2,RBLX
ARM,27,ARM
SE,32,SE
TRIP,2,TRIP
ORCL,3,ORCL
ETHA,5,ETHA
AMZN,144,AMZN
NVDA,24,NVDA
MU,5,MU
SDA,2,SDA
AVGO,39,AVGO
CAH,3,CAH
IBIT,10,IBIT
SHOP,107,SHOP
SBUX,12,SBUX
TEFO,8,TEF
OXY,5,OXY
ABNB,15,ABNB
LAC,1,LAC
F,1,F
CAR,26,CAR
TWLO,36,TWLO
BP,5,BP
SLB,3,SLB
CAT,20,CAT
AXP,15,AXP
WBO,6,WB
BKR,7,BKR
GLW,4,GLW
ISRG,90,ISRG
AEG,1,AEG
ZM,47,ZM
GE,8,GE
UAL,5,UAL
XLK,46,XLK
ABT,4,ABT
TXR,4,TX
JPM,15,JPM
WFC,5,WFC
QQQ,20,QQQ
RTX,5,RTX
USB,5,USB
NOKA,1,NOK
GOOGL,58,GOOGL
MOS,5,MOS
BABA,9,BABA
FDX,10,FDX
AAL,2,AAL
COST,48,COST
XLI,28,XLI
BB,3,BB
EA,14,EA
DD,5,DD
GLOB,18,GLOB
DOW,6,DOW
SHEL,2,SHEL
NFLX,48,NFLX
IWM,10,IWM
AAPL,20,AAPL
NKE,12,NKE
FSLR,18,FSLR
SPY,20,SPY
FCX,3,FCX
GS,13,GS
LRCX,56,LRCX
XYZ,20,XYZ
JD,4,JD
BBV,1,BBVA
XLE,2,XLE
IVW,20,IVW
BK,2,BK
BIDU,11,BIDU
LMT,20,LMT
PANW,50,PANW
MMM,10,MMM
PBR,1,PBR
PKS,3,PKX
CRM,18,CRM
ARKK,10,BATS:ARKK
MSTR,20,MSTR
WMT,18,WMT
HD,32,HD
BHP,2,BHP
NTES,14,NTES
ITUB,1,ITUB
AAP,14,AAP
UNP,20,UNP
CSCO,5,CSCO
HAL,2,HAL
INFY,1,INFY
ERIC,2,ERIC
MSI,20,MSI
LAR,1,LAR
GPRK,1,GPRK
XLY,43,XLY
UBER,2,UBER
X,3,X
LVS,2,LVS
ADGO,1,AGRO
XLF,2,XLF
XLRE,9,XLRE
BIIB,13,BIIB
XOM,10,XOM
MO,4,MO
ABEV,0,ABEV
DIA,20,DIA
DHR,54,DHR
BA,24,BA
ADI,15,ADI
XLC,19,XLC
HSY,21,HSY
ADBE,44,ADBE
COIN,27,COIN
AIG,5,AIG
EBAY,2,EBAY
IBN,1,IBN
HON,8,HON
BMY,3,BMY
DISN,12,DIS
PSX,6,PSX
UGP,1,UGP
TM,15,TM
C,3,C
ORLY,222,ORLY
FXI,5,FXI
BRFS,0.33,BRFS
EEM,5,EEM
DESP,1,DESP
VOD,1,VOD
PYPL,8,PYPL
CVX,16,CVX
UL,3,UL
ERJ,1,ERJ
IVE,40,IVE
MA,33,MA
SH,8,SH
DOCU,22,DOCU
AMX,1,AMX
HMC,1,HMC
GGB,0.25,GGB
BNG,5,BG
WBA,3,WBA
EWZ,2,EWZ
GM,6,GM
AMD,10,AMD
NU,2,NU
VALE,2,VALE
TV,3,TV
T,3,T
V,18,V
SAN,0.25,SAN
BBD,1,BBD
UPST,5,UPST
XLP,16,XLP
ADP,6,ADP
ABBV,10,ABBV
SPGI,45,SPGI
CL,3,CL
AMAT,5,AMAT
HPQ,1,HPQ
TSLA,15,TSLA
INTC,5,INTC
TEN,1,TS
IEUR,11,IEUR
STNE,3,STNE
ARCO,0.5,ARCO
MELI,120,MELI
BCS,1,BCS
GT,2,GT
VEA,10,VEA
DEO,6,DEO
IBM,15,IBM
XLB,18,XLB
PG,15,PG
KMB,6,KMB
TXN,5,TXN
VIST,3,VIST
CAAP,0.25,CAAP
JNJ,15,JNJ
SPOT,28,SPOT
AZN,2,AZN
CDE,1,CDE
PEP,18,PEP
RIO,8,RIO
PLTR,3,PLTR
SYY,8,SYY
MCD,24,MCD
PHG,5,PHG
EQNR,6,EQNR
KO,5,KO
PFE,4,PFE
TJX,22,TJX
SATL,1,SATL
IBB,27,IBB
GSK,4,GSK
GLD,50,GLD
TGT,24,TGT
MRK,5,MRK
NEM,3,NEM
PAGS,3,PAGS
VZ,4,VZ
BSBR,1,BSBR
XLV,29,XLV
SONY,8,SONY
IP,4,IP
ETSY,16,ETSY
AMGN,30,AMGN
LYG,2,LYG
MUX,2,MUX
HL,1,HL
KGC,1,KGC
UNH,33,UNH
GOLD,2,GOLD
GILD,4,GILD
NIO,4,NIO
AEM,6,AEM
SID,0.13,SID
PAAS,3,PAAS
GFI,1,GFI
HMY,1,HMY
QCOM,11,QCOM
LLY,56,LLY
BA.C,4,BAC
BRKB,22,BRK-B
JOYY,5,JOYY
BBAR,3,BBAR
BMA,10,BMA
CEPU,10,CEPU
CRES,10,CRESY
EDN,20,EDN
GGAL,10,GGAL
IRSA,10,IRS
LOMA,5,LOMA
PAMP,25,PAM
SUPV,5,SUPV
TECO2,5,TEO
TGSU2,5,TGS
YPFD,1,YPF
